"library","value"
"D5_0_1",1.01423487544484
"D5_0_2",1.0355871886121
"D5_0_3",1.01423487544484
"D6_0_1",1.01423487544484
"D6_0_2",1.01423487544484
"D6_0_3",0.97153024911032
"F7_0_1",1.02491103202847
"F7_0_2",1.02491103202847
"F7_0_3",1.00355871886121
"M8_0_1",1.0355871886121
"M8_0_2",1.0355871886121
"M8_0_3",1.02491103202847
"D5_1_1",1.04577464788732
"D5_1_2",1.00352112676056
"D5_1_3",1.02464788732394
"D6_1_1",1.01408450704225
"D6_1_2",0.992957746478873
"D6_1_3",0.992957746478873
"F7_1_1",1.02464788732394
"F7_1_2",1.00352112676056
"F7_1_3",1.00352112676056
"M8_1_1",1.02464788732394
"M8_1_2",1.02464788732394
"M8_1_3",1.02464788732394
"D5_2_1",0.996575342465753
"D5_2_2",1.00684931506849
"D5_2_3",0.996575342465753
"D6_2_1",1.00684931506849
"D6_2_2",1.00684931506849
"D6_2_3",0.986301369863014
"F7_2_1",1.00684931506849
"F7_2_2",0.986301369863014
"F7_2_3",0.996575342465753
"M8_2_1",1.00684931506849
"M8_2_2",1.00684931506849
"M8_2_3",1.00684931506849
"D5_3_1",1.01010101010101
"D5_3_2",1
"D5_3_3",0.97979797979798
"D6_3_1",1
"D6_3_2",1.01010101010101
"D6_3_3",0.98989898989899
"F7_3_1",0.97979797979798
"F7_3_2",0.97979797979798
"F7_3_3",0.96969696969697
"M8_3_1",1
"M8_3_2",1
"M8_3_3",0.98989898989899
"D5_4_1",0.993031358885017
"D5_4_2",1.02439024390244
"D5_4_3",1.01393728222997
"D6_4_1",1.00348432055749
"D6_4_2",1.00348432055749
"D6_4_3",0.993031358885017
"F7_4_1",1.00348432055749
"F7_4_2",1.00348432055749
"F7_4_3",1.01393728222997
"M8_4_1",1.03484320557491
"M8_4_2",1.03484320557491
"M8_4_3",1.02439024390244
"D5_5_1",1.01712328767123
"D5_5_2",1.01712328767123
"D5_5_3",1.01712328767123
"D6_5_1",0.996575342465753
"D6_5_2",1.00684931506849
"D6_5_3",0.996575342465753
"F7_5_1",1.00684931506849
"F7_5_2",0.996575342465753
"F7_5_3",0.996575342465753
"M8_5_1",1.02739726027397
"M8_5_2",1.02739726027397
"M8_5_3",1.00684931506849
"D5_6_1",1.01730103806228
"D5_6_2",1.01730103806228
"D5_6_3",1.02768166089965
"D6_6_1",0.986159169550173
"D6_6_2",1.00692041522491
"D6_6_3",1.00692041522491
"F7_6_1",1.00692041522491
"F7_6_2",1.00692041522491
"F7_6_3",1.00692041522491
"M8_6_1",1.01730103806228
"M8_6_2",1.01730103806228
"M8_6_3",1.00692041522491
"D5_7_1",1.02389078498294
"D5_7_2",0.993174061433447
"D5_7_3",1.01365187713311
"D6_7_1",1.00341296928328
"D6_7_2",0.993174061433447
"D6_7_3",1.00341296928328
"F7_7_1",0.993174061433447
"F7_7_2",0.993174061433447
"F7_7_3",1.01365187713311
"M8_7_1",1.02389078498294
"M8_7_2",1.01365187713311
"M8_7_3",1.01365187713311
"D5_8_1",1.02040816326531
"D5_8_2",1.02040816326531
"D5_8_3",1.01020408163265
"D6_8_1",1.01020408163265
"D6_8_2",1
"D6_8_3",0.989795918367347
"F7_8_1",1.01020408163265
"F7_8_2",1.01122448979592
"F7_8_3",1
"M8_8_1",1.02040816326531
"M8_8_2",1.01020408163265
"M8_8_3",1.01020408163265
"D5_9_1",0.996350364963504
"D5_9_2",1.01824817518248
"D5_9_3",0.996350364963504
"D6_9_1",1.02919708029197
"D6_9_2",0.930656934306569
"D6_9_3",1.04014598540146
"F7_9_1",1.01824817518248
"F7_9_2",0.941605839416058
"F7_9_3",1.01824817518248
"M8_9_1",0.930656934306569
"M8_9_2",0.963503649635037
"M8_9_3",1.06204379562044
"D5_11_1",1.01020408163265
"D5_11_2",1
"D5_11_3",1
"D6_11_1",1
"D6_11_2",1.01020408163265
"D6_11_3",0.989795918367347
"F7_11_1",0.989795918367347
"F7_11_2",0.989795918367347
"F7_11_3",0.989795918367347
"M8_11_1",1.02040816326531
"M8_11_2",1
"M8_11_3",1
"D5_12_1",1.01730103806228
"D5_12_2",1.01730103806228
"D5_12_3",1.00692041522491
"D6_12_1",0.996539792387543
"D6_12_2",0.996539792387543
"D6_12_3",1.00692041522491
"F7_12_1",1.00692041522491
"F7_12_2",1.00692041522491
"F7_12_3",0.986159169550173
"M8_12_1",1.01730103806228
"M8_12_2",1.00692041522491
"M8_12_3",0.996539792387543
"D5_13_1",1.01379310344828
"D5_13_2",1.01379310344828
"D5_13_3",1.02413793103448
"D6_13_1",1.00344827586207
"D6_13_2",0.993103448275862
"D6_13_3",1.00344827586207
"F7_13_1",1.01379310344828
"F7_13_2",1.00344827586207
"F7_13_3",1.00344827586207
"M8_13_1",1.01379310344828
"M8_13_2",1.01379310344828
"M8_13_3",1.01379310344828
"D5_15_1",1.00692041522491
"D5_15_2",0.85121107266436
"D5_15_3",1.01730103806228
"D6_15_1",0.996539792387543
"D6_15_2",1.00692041522491
"D6_15_3",0.996539792387543
"F7_15_1",1.00692041522491
"F7_15_2",1.00692041522491
"F7_15_3",1.00692041522491
"M8_15_1",1.01730103806228
"M8_15_2",1.02768166089965
"M8_15_3",1.01730103806228
"D5_16_1",0.996539792387543
"D5_16_2",1.03806228373702
"D5_16_3",1.03806228373702
"D6_16_1",0.965397923875432
"D6_16_2",1.01730103806228
"D6_16_3",1.01730103806228
"F7_16_1",0.996539792387543
"F7_16_2",1.01730103806228
"F7_16_3",1.01730103806228
"M8_16_1",1.00692041522491
"M8_16_2",1.03806228373702
"M8_16_3",1.02768166089965
"D5_17_1",1.01041666666667
"D5_17_2",1
"D5_17_3",1.01041666666667
"D6_17_1",0.989583333333333
"D6_17_3",1.01041666666667
"F7_17_1",1
"F7_17_2",0.979166666666667
"F7_17_3",1
"M8_17_1",1
"M8_17_2",1.01041666666667
"M8_17_3",1.02083333333333
"D5_20_1",1.03846153846154
"D5_20_2",1.03846153846154
"D5_20_3",1.02797202797203
"D6_20_1",0.986013986013986
"D6_20_2",1.00699300699301
"D6_20_3",1.00699300699301
"F7_20_1",1.01748251748252
"F7_20_2",1.00699300699301
"F7_20_3",0.996503496503497
"M8_20_1",1.02797202797203
"M8_20_2",1.03846153846154
"M8_20_3",1.00699300699301
